# Habitat mask points exported from surfaceDxy2
# Wed Jul 03 10:07:00 p.m. 2019 
x y forest D.0
2674715 5982395 nonbeech 11.7963276887641
2674725 5982395 nonbeech 11.7734997523922
2674735 5982395 nonbeech 11.7336980266849
2674765 5982395 nonbeech 11.514533737553
2674775 5982395 nonbeech 11.4092735948938
2674785 5982395 nonbeech 11.2886032658317
2674795 5982395 nonbeech 11.1530334094639
2674805 5982395 nonbeech 11.0031332807969
2674815 5982395 nonbeech 10.8395267507059
2674825 5982395 beech 10.6628879837815
2674835 5982395 beech 10.4739368159298
2674845 5982395 beech 10.2734338760224
2674855 5982395 beech 10.0621754977718
2674865 5982395 beech 9.84098846933008
2674875 5982395 beech 9.61072466886447
2674885 5982395 beech 9.37225563454502
2674895 5982395 beech 9.12646711701122
2674905 5982395 beech 8.87425366146799
2674915 5982395 beech 8.61651326512964
2674925 5982395 beech 8.35414215381208
2674935 5982395 beech 8.08802971910385
2674945 5982395 beech 7.81905365477101
2674955 5982395 beech 7.54807532791434
2674965 5982395 nonbeech 7.27593541695154
2674975 5982395 nonbeech 7.0034498447962
2674985 5982395 beech 6.73140603170419
2674995 5982395 beech 6.46055948821407
2675005 5982395 beech 6.19163076447742
2675015 5982395 beech 5.92530276811449
2675025 5982395 beech 5.66221845859262
2675035 5982395 beech 5.40297892206424
2675045 5982395 beech 5.14814182666326
2675055 5982395 beech 4.89822025449113
2675065 5982395 beech 4.65368190296554
2675075 5982395 beech 4.41494864489179
2675085 5982395 beech 4.18239643358094
2675095 5982395 beech 3.95635553660364
2675105 5982395 beech 3.73711107935583
2675115 5982395 beech 3.52490387753452
2675125 5982395 nonbeech 3.31993153588987
2675135 5982395 nonbeech 3.12234978923493
2675145 5982395 beech 2.93227406065729
2675155 5982395 beech 2.74978121117944
2675165 5982395 beech 2.57491145474768
2675175 5982395 beech 2.40767041237678
2675185 5982395 beech 2.24803127952209
2674685 5982405 nonbeech 11.8789392996407
2674695 5982405 nonbeech 11.9233487026011
2674705 5982405 nonbeech 11.9505915932086
2674715 5982405 nonbeech 11.9605497496687
2674725 5982405 nonbeech 11.9531799132029
2674755 5982405 nonbeech 11.8277970667128
2674765 5982405 nonbeech 11.7521814696724
2674775 5982405 nonbeech 11.6601380086841
2674785 5982405 nonbeech 11.5520609070213
